internal_id,description,format,brand,units,category_id,source_id
23755,INFUSIÓN TOMILLO HACENDADO CAJA 20 BOLSITAS (24 G),CAJA,HACENDADO,1,D40-90-01,1
23756,INFUSIÓN HINOJO HACENDADO CAJA 20 BOLSITAS (40 G),CAJA,HACENDADO,1,D40-90-01,1
23757,INFUSIÓN CÚRCUMA HACENDADO CAJA 20 BOLSITAS (34 G),CAJA,HACENDADO,1,D40-90-01,1
23758,INFUSIÓN LAXSEN SABOR MENTA HACENDADO CAJA 20 BOLSITAS (30 G),CAJA,HACENDADO,1,D40-90-01,1
23759,INFUSIÓN ROOIBOS Y MANGO HACENDADO FRÍA O CALIENTE CAJA 20 BOLSITAS (40 G),CAJA,HACENDADO,1,D40-90-01,1
23760,INFUSIÓN FIGURA HACENDADO CAJA 20 BOLSITAS (30 G),CAJA,HACENDADO,1,D40-90-01,1
23761,INFUSIÓN YERBA MATE TARAGÜI PAQUETE 500 G,PAQUETE,HACENDADO,1,D40-90-01,1
23762,INFUSIÓN RESPIR HACENDADO CAJA 20 BOLSITAS (30 G),CAJA,HACENDADO,1,D40-90-01,1
23763,INFUSIÓN SABOR PIÑA COLADA HACENDADO FRÍA O CALIENTE CAJA 20 BOLSITAS (40 G),CAJA,HACENDADO,1,D40-90-01,1
23764,TÉ VERDE HACENDADO CAJA 20 BOLSITAS (30 G),CAJA,HACENDADO,1,D40-90-04,1
23766,TÉ NEGRO PG TIPS CAJA 40 BOLSITAS (116 G),CAJA,PG TIPS,1,D40-90-03,1
23767,TÉ ROJO HACENDADO CAJA 20 BOLSITAS (40 G),CAJA,HACENDADO,1,D40-90-02,1
23768,TÉ VERDE CON HIERBABUENA HACENDADO CAJA 20 BOLSITAS (40 G),CAJA,HACENDADO,1,D40-90-04,1
23769,TÉ VERDE CON LIMÓN HACENDADO CAJA 20 BOLSITAS (40 G),CAJA,HACENDADO,1,D40-90-04,1
23771,CERVEZA CLÁSICA STEINBURG 12 LATAS X 330 ML ,12 X 33 CL,STEINBURG,12,B30-10-10,1
23772,CERVEZA ESTRELLA GALICIA 12 BOTELLINES X 250 ML ,12 X 25 CL,ESTRELLA GALICIA,12,B30-10-10,1
23773,"CERVEZA 0,0% SIN ALCOHOL TOSTADA MAHOU 6 BOTELLINES X 330 ML ",6 X 33 CL,MAHOU,6,B30-20-20,1
23774,CERVEZA RESERVA 1925 ALHAMBRA 6 BOTELLINES X 330 ML ,6 X 33 CL,ALHAMBRA RESERVA 1925,6,B30-10-10,1
23775,CERVEZA ESPECIAL STEINBURG 12 LATAS X 330 ML ,12 X 33 CL,STEINBURG,12,B30-10-10,1
23776,CERVEZA ESTRELLA DAMM 12 LATAS X 330 ML ,12 X 33 CL,ESTRELLA DAMM,12,B30-10-10,1
23777,CERVEZA TOSTADA TURIA 12 BOTELLINES X 250 ML ,12 X 25 CL,TURIA,12,B30-10-10,1
23778,CERVEZA SUAVE STEINBURG 12 LATAS X 330 ML ,12 X 33 CL,STEINBURG,12,B30-10-10,1
23779,CERVEZA CLÁSICA STEINBURG 12 BOTELLINES X 200 ML ,12 X 20 CL,STEINBURG,12,B30-10-10,1
23780,CERVEZA RADLER CON ZUMO NATURAL DE LIMÓN STEINBURG 12 LATAS X 330 ML ,12 X 33 CL,STEINBURG,12,B30-10-10,1
23781,CERVEZA ESTRELLA DAMM 12 BOTELLINES X 250 ML ,12 X 25 CL,ESTRELLA DAMM,12,B30-10-10,1
23782,CERVEZA EL ÁGUILA SIN FILTRAR 6 BOTELLINES X 330 ML ,6 X 33 CL,EL ÁGUILA,6,B30-10-10,1
23783,CERVEZA EXTRA 1906 RESERVA ESPECIAL 6 BOTELLINES X 330 ML ,6 X 33 CL,1906,6,B30-10-10,1
23784,"CERVEZA SIN GLUTEN FREE DAMM 0,0% SIN ALCOHOL 6 LATAS X 330 ML ",6 X 33 CL,FREE DAMM,6,B30-20-20,1
23785,CERVEZA SIN ALCOHOL FALKE 12 LATAS X 330 ML ,12 X 33 CL,FALKE,12,B30-20-20,1
23786,CERVEZA HEINEKEN 12 LATAS X 330 ML ,12 X 33 CL,HEINEKEN,12,B30-10-10,1
23787,CERVEZA DOBLE MALTA VOLL-DAMM 6 LATAS X 330 ML ,6 X 33 CL,VOLL-DAMM,6,B30-10-10,1
23788,CERVEZA RADLER CON ZUMO NATURAL DE LIMÓN STEINBURG LATA 330 ML,33 CL,STEINBURG,1,B30-10-10,1
23789,CERVEZA ESPECIAL SAN MIGUEL 12 LATAS X 330 ML ,12 X 33 CL,SAN MIGUEL,12,B30-10-10,1
23790,CERVEZA CLÁSICA STEINBURG LATA 330 ML,33 CL,STEINBURG,1,B30-10-10,1
23791,CERVEZA CORONA 6 BOTELLINES X 355 ML ,"6 X 35,5 CL",CORONA,6,B30-10-10,1
23792,CERVEZA SHANDY SABOR LIMÓN STEINBURG 12 LATAS X 330 ML ,12 X 33 CL,SHANDY,12,B30-10-10,1
23793,"CERVEZA 0,0% SIN ALCOHOL FALKE 12 LATAS X 330 ML ",12 X 33 CL,FALKE,12,B30-20-20,1
23794,CERVEZA HEINEKEN 12 BOTELLINES X 250 ML ,12 X 25 CL,HEINEKEN,12,B30-10-10,1
23795,CERVEZA ESPECIAL STEINBURG 12 BOTELLINES X 200 ML ,12 X 20 CL,STEINBURG,12,B30-10-10,1
23796,"CERVEZA 0,0% SIN ALCOHOL TOSTADA FALKE 12 LATAS X 330 ML ",12 X 33 CL,FALKE,12,B30-20-20,1
23797,CERVEZA SHANDY SABOR LIMÓN STEINBURG LATA 330 ML,33 CL,SHANDY,1,B30-10-10,1
23798,CERVEZA DOBLE MALTA 6 LATAS X 330 ML ,6 X 33 CL,HACENDADO,6,B30-10-10,1
23799,CERVEZA TOSTADA 1897 9 LATAS X 330 ML ,9 X 33 CL,1897,9,B30-10-10,1
23800,CERVEZA SIN ALCOHOL FALKE 6 BOTELLINES X 250 ML ,6 X 25 CL,FALKE,6,B30-20-20,1
23801,CERVEZA CLÁSICA STEINBURG 6 BOTELLAS X 1 L ,6 X 1 L,STEINBURG,6,B30-10-10,1
23802,"CERVEZA 0,0% SIN ALCOHOL FALKE 6 BOTELLINES X 250 ML ",6 X 25 CL,FALKE,6,B30-20-20,1
23803,CERVEZA ESTRELLA GALICIA BOTELLÍN 250 ML,25 CL,ESTRELLA GALICIA,1,B30-10-10,1
23804,CERVEZA PILSEN CRUZCAMPO 12 BOTELLINES X 250 ML ,12 X 25 CL,CRUZCAMPO,12,B30-10-10,1
23805,CERVEZA RESERVA 1925 ALHAMBRA BOTELLÍN 330 ML,33 CL,ALHAMBRA RESERVA 1925,1,B30-10-10,1
23806,CERVEZA PILS KROMBACHER 6 LATAS X 330 ML ,6 X 33 CL,KROMBACHER,6,B30-10-10,1
23807,"CERVEZA 0,0% SIN ALCOHOL TOSTADA FALKE 6 BOTELLINES X 250 ML ",6 X 25 CL,FALKE,6,B30-20-20,1
23808,"CERVEZA 0,0% SIN ALCOHOL TOSTADA MAHOU BOTELLÍN 330 ML",33 CL,MAHOU,1,B30-20-20,1
23809,"CERVEZA 0,0% SIN ALCOHOL TOSTADA FALKE LATA 330 ML",33 CL,FALKE,1,B30-20-20,1
23810,CERVEZA RADLER STEINBURG CON ZUMO NATURAL DE LIMÓN 6 BOTELLAS X 500 ML ,6 X 50 CL,STEINBURG,6,B30-10-10,1
23811,CERVEZA ESTRELLA DAMM LATA 330 ML,33 CL,ESTRELLA DAMM,1,B30-10-10,1
23812,CERVEZA DE TRIGO FRANZISKANER 6 BOTELLINES X 355 ML ,"6 X 35,5 CL",FRANZISKANER,6,B30-10-10,1
23813,CERVEZA DOBLE MALTA VOLL-DAMM LATA 330 ML,33 CL,VOLL-DAMM,1,B30-10-10,1
23814,"CERVEZA SIN GLUTEN FREE DAMM 0,0% SIN ALCOHOL LATA 330 ML",33 CL,FREE DAMM,1,B30-20-20,1
23816,CERVEZA XIBECA DAMM 12 LATAS X 330 ML ,12 X 33 CL,XIBECA DAMM,12,B30-10-10,1
23817,CERVEZA TOSTADA TURIA BOTELLÍN 250 ML,25 CL,TURIA,1,B30-10-10,1
23818,CERVEZA CLÁSICA STEINBURG BOTELLA 1 L,1 L,STEINBURG,1,B30-10-10,1
23820,CERVEZA SIN GLUTEN STEINBURG 12 LATAS X 330 ML ,12 X 33 CL,STEINBURG,12,B30-10-10,1
23821,CERVEZA EXTRA 1906 RESERVA ESPECIAL BOTELLÍN 330 ML,33 CL,1906,1,B30-10-10,1
23822,CERVEZA EL ÁGUILA SIN FILTRAR BOTELLÍN 330 ML,33 CL,EL ÁGUILA,1,B30-10-10,1
23823,CERVEZA SUAVE BUDWEISER 6 BOTELLINES X 250 ML ,6 X 25 CL,BUDWEISER,6,B30-10-10,1
23824,CERVEZA SIN ALCOHOL FALKE LATA 330 ML,33 CL,FALKE,1,B30-20-20,1
23825,"CERVEZA 0,0% SIN ALCOHOL FALKE LATA 330 ML",33 CL,FALKE,1,B30-20-20,1
23826,CERVEZA ESPECIAL STEINBURG LATA 330 ML,33 CL,STEINBURG,1,B30-10-10,1
23827,CERVEZA ESPECIAL SAN MIGUEL LATA 330 ML,33 CL,SAN MIGUEL,1,B30-10-10,1
23828,CERVEZA SIN GLUTEN STEINBURG LATA 330 ML,33 CL,STEINBURG,1,B30-10-10,1
23829,CERVEZA CON SABOR A TEQUILA Y GINGER DESPERADOS 6 BOTELLINES X 330 ML ,6 X 33 CL,DESPERADOS,6,B30-10-10,1
23830,CERVEZA SHANDY STEINBURG SABOR LIMÓN 6 BOTELLINES X 500 ML ,6 X 50 CL,SHANDY,6,B30-10-10,1
23831,CERVEZA SUAVE XIBECA DAMM BOTELLA 1 L,1 L,XIBECA DAMM,1,B30-10-10,1
23832,CERVEZA TOSTADA 1897 LATA 330 ML,33 CL,1897,1,B30-10-10,1
23833,CERVEZA HEINEKEN LATA 330 ML,33 CL,HEINEKEN,1,B30-10-10,1
23834,CERVEZA SUAVE STEINBURG LATA 330 ML,33 CL,STEINBURG,1,B30-10-10,1
23835,CERVEZA CLÁSICA STEINBURG BOTELLÍN 200 ML,20 CL,STEINBURG,1,B30-10-10,1
23836,CERVEZA SIN GLUTEN DAURA DAMM 6 BOTELLINES X 330 ML ,6 X 33 CL,DAURA,6,B30-10-10,1
23837,CERVEZA CON SABOR A TEQUILA Y GINGER DESPERADOS BOTELLÍN 330 ML,33 CL,DESPERADOS,1,B30-10-10,1
23838,CERVEZA ESPECIAL SAN MIGUEL 12 BOTELLINES X 250 ML ,12 X 25 CL,SAN MIGUEL,12,B30-10-10,1
23839,"CERVEZA 0,0% SIN ALCOHOL TOSTADA FALKE BOTELLÍN 250 ML",25 CL,FALKE,1,B30-20-20,1
23840,CERVEZA HEINEKEN BOTELLÍN 250 ML,25 CL,HEINEKEN,1,B30-10-10,1
23841,CERVEZA DOBLE MALTA LATA 330 ML,33 CL,HACENDADO,1,B30-10-10,1
23842,CERVEZA RADLER STEINBURG CON ZUMO NATURAL DE LIMÓN BOTELLÍN 500 ML,50 CL,STEINBURG,1,B30-10-10,1
23843,CERVEZA ESTRELLA DAMM BOTELLÍN 250 ML,25 CL,ESTRELLA DAMM,1,B30-10-10,1
23844,"CERVEZA 0,0% SIN ALCOHOL FALKE BOTELLÍN 250 ML",25 CL,FALKE,1,B30-20-20,1
23846,CERVEZA SUAVE BUDWEISER BOTELLÍN 250 ML,25 CL,BUDWEISER,1,B30-10-10,1
23847,CERVEZA ESPECIAL STEINBURG BOTELLÍN 200 ML,20 CL,STEINBURG,1,B30-10-10,1
23848,CERVEZA ABADÍA TONGERLO 4 BOTELLINES X 330 ML ,4 X 33 CL,TONGERLO,4,B30-10-10,1
23849,CERVEZA SIN GLUTEN DAURA DAMM BOTELLÍN 330 ML,33 CL,DAURA,1,B30-10-10,1
23850,CERVEZA PILS KROMBACHER LATA 330 ML,33 CL,KROMBACHER,1,B30-10-10,1
23851,CERVEZA ABADÍA TONGERLO BOTELLÍN 330 ML,33 CL,TONGERLO,1,B30-10-10,1
23852,CERVEZA PILSEN CRUZCAMPO BOTELLÍN 250 ML,25 CL,CRUZCAMPO,1,B30-10-10,1
23853,CERVEZA XIBECA DAMM LATA 330 ML,33 CL,XIBECA DAMM,1,B30-10-10,1
23854,CERVEZA SIN ALCOHOL FALKE BOTELLÍN 250 ML,25 CL,FALKE,1,B30-20-20,1
23859,TORTITAS DE MAÍZ HACENDADO PAQUETE 4 PACKS (120 G),PAQUETE,HACENDADO,1,N10-10-10,1
23860,TORTITAS DE ARROZ CON CHOCOLATE BLANCO SABOR YOGUR HACENDADO PAQUETE 4 PACKS (120 G),PAQUETE,HACENDADO,1,N10-20-02,1
23861,TORTITAS DE MAÍZ CON CHOCOLATE HACENDADO PAQUETE 4 PACKS (130 G),PAQUETE,HACENDADO,1,N10-10-10,1
23867,LECHE SEMIDESNATADA LLET NOSTRA 6 BRICKS X 1 L ,6 X 1 L, LLET NOSTRA,6,D70-20-00,1
23868,LECHE SEMIDESNATADA LLET NOSTRA BRICK 1 L,1 L, LLET NOSTRA,1,D70-20-00,1
23869,"LECHE SEMIDESNATADA ASTURIANA 6 BOTELLAS X 1,5 L ","6 X 1,5 L",ASTURIANA,6,D70-20-00,1
23870,"LECHE SEMIDESNATADA ASTURIANA BOTELLA 1,5 L","1,50 L",ASTURIANA,1,D70-20-00,1
23871,LECHE SEMIDESNATADA CALCIO PULEVA 6 BRICKS X 1 L ,6 X 1 L,PULEVA,6,D70-20-01,1
23872,LECHE SEMIDESNATADA CALCIO PULEVA BRICK 1 L,1 L,PULEVA,1,D70-20-01,1
23873,LECHE SEMIDESNATADA ASTURIANA 6 BRICKS X 1 L ,6 X 1 L,ASTURIANA,6,D70-20-00,1
23874,LECHE SEMIDESNATADA ASTURIANA BRICK 1 L,1 L,ASTURIANA,1,D70-20-00,1
23875,BEBIDA LÁCTEA OMEGA 3 PULEVA CON LECHE DESNATADA 6 BRICKS X 1 L ,6 X 1 L,PULEVA,6,D70-60-00,1
23876,BEBIDA LÁCTEA OMEGA 3 PULEVA CON LECHE DESNATADA BRICK 1 L,1 L,PULEVA,1,D70-60-00,1
23877,LECHE DESNATADA LLET NOSTRA 6 BRICKS X 1 L ,6 X 1 L, LLET NOSTRA,6,D70-30-00,1
23878,LECHE DESNATADA LLET NOSTRA BRICK 1 L,1 L, LLET NOSTRA,1,D70-30-00,1
23879,LECHE DESNATADA CALCIO PULEVA 6 BRICKS X 1 L ,6 X 1 L,PULEVA,6,D70-30-01,1
23880,LECHE DESNATADA CALCIO PULEVA BRICK 1 L,1 L,PULEVA,1,D70-30-01,1
23881,BEBIDA LÁCTEA OMEGA 3 PULEVA CON NUECES Y LECHE DESNATADA 6 BRICKS X 1 L ,6 X 1 L,PULEVA,6,D70-60-08,1
23882,BEBIDA LÁCTEA OMEGA 3 PULEVA CON NUECES Y LECHE DESNATADA BRICK 1 L,1 L,PULEVA,1,D70-60-08,1
23883,LECHE EN POLVO DESNATADA PAQUETE 700 G,1 KG,HACENDADO,1,D70-50-03,1
23884,LECHE DESNATADA ASTURIANA 6 BRICKS X 1 L ,6 X 1 L,ASTURIANA,6,D70-30-00,1
23885,LECHE DESNATADA ASTURIANA BRICK 1 L,1 L,ASTURIANA,1,D70-30-00,1
23886,"LECHE ENTERA ASTURIANA 6 BOTELLAS X 1,5 L ","6 X 1,5 L",ASTURIANA,6,D70-10-00,1
23887,"LECHE ENTERA ASTURIANA BOTELLA 1,5 L","1,50 L",ASTURIANA,1,D70-10-00,1
23888,LECHE ENTERA LLET NOSTRA 6 BRICKS X 1 L ,6 X 1 L, LLET NOSTRA,6,D70-10-00,1
23889,LECHE ENTERA LLET NOSTRA BRICK 1 L,1 L, LLET NOSTRA,1,D70-10-00,1
23890,LECHE ENTERA ASTURIANA 6 BRICKS X 1 L ,6 X 1 L,ASTURIANA,6,D70-10-00,1
23891,LECHE ENTERA ASTURIANA BRICK 1 L,1 L,ASTURIANA,1,D70-10-00,1
23892,BEBIDA DE AVENA ALITEY 3 MINI BRICKS X 250 ML ,3 MINI BRICKS X 250 ML,ALITEY,1,D76-00-02,1
23893,BEBIDA DE AVENA ALITEY 6 BRICKS X 1 L ,6 BRICKS X 1 L,ALITEY,1,D76-00-02,1
23894,BEBIDA DE AVENA ALITEY BRICK 1 L,1 L,ALITEY,1,D76-00-02,1
23896,BEBIDA DE SOJA LIGERA HACENDADO 6 BRICKS X 1 L ,6 BRICKS X 1 L,HACENDADO,1,D76-00-04,1
23897,BEBIDA DE SOJA LIGERA HACENDADO BRICK 1 L,1 L,HACENDADO,1,D76-00-04,1
23898,BATIDO DE CACAO CACAOLAT BOTELLA 1 L,1 L,CACAOLAT,1,D75-10-00,1
23899,BATIDO DE CHOCOLATE 90% LECHE PULEVA 6 MINI BRICKS X 200 ML ,6 MINI BRICKS X 200 ML,PULEVA,1,D75-10-00,1
23900,BATIDO DE CHOCOLATE COLACAO ENERGY 4 MINI BOTELLAS X 188 ML ,4 MINI BOTELLAS X 188 ML,COLACAO,1,D75-10-00,1
23901,BATIDO SABOR VAINILLA HACENDADO BOTELLA 1 L,1 L,HACENDADO,1,D75-30-00,1
23902,BATIDO SABOR FRESA HACENDADO BOTELLA 1 L,1 L,HACENDADO,1,D75-20-00,1
23912,LECHE CONDENSADA ENTERA NUTRICIA BOTE 1 KG,1 KG,NUTRICIA,1,D70-40-01,1
23913,LECHE CONDENSADA ENTERA NUTRICIA BOTE 397 G,379 G,NUTRICIA,1,D70-40-01,1
23914,LECHE CONDENSADA ENTERA NUTRICIA BOTE 450 G,450 G,NUTRICIA,1,D70-40-01,1
23915,LECHE CONDENSADA DESNATADA NUTRICIA BOTE 450 G,450 G,NUTRICIA,1,D70-40-03,1
23928,PIMENTÓN DULCE HACENDADO BOTE 56 G,BOTE,HACENDADO,1,D33-50-00,1
23929,PIMENTÓN DULCE HACENDADO BOTE 75 G,BOTE,HACENDADO,1,D33-50-00,1
23930,PIMENTÓN DULCE DE LA VERA HACENDADO BOTE 75 G,BOTE,HACENDADO,1,D33-50-00,1
23933,PIMENTÓN PICANTE HACENDADO BOTE 60 G,BOTE,HACENDADO,1,D33-50-00,1
23934,PIMIENTA NEGRA MOLIDA HACENDADO BOTE 70 G,70 G,HACENDADO,1,D33-50-00,1
23936,PIMIENTA NEGRA EN GRANO HACENDADO BOTE 70 G,70 G,HACENDADO,1,D33-50-00,1
23938,PIMIENTA BLANCA MOLIDA HACENDADO BOTE 70 G,70 G,HACENDADO,1,D33-50-00,1
23969,MAYONESA HACENDADO TARRO 500 ML,TARRO,HACENDADO,1,D80-00-10,1
23970,MAYONESA HACENDADO TARRO 225 ML,TARRO,HACENDADO,1,D80-00-10,1
23971,MAYONESA HACENDADO BOTE 460 ML,BOTE,HACENDADO,1,D80-00-10,1
23972,MAYONESA HELLMANNS TARRO 475 ML,TARRO,HELLMANS,1,D80-00-10,1
23973,MAYONESA HELLMANNS TARRO 225 ML,TARRO,HELLMANS,1,D80-00-10,1
23977,MAYONESA YBARRA BOTE 500 ML,BOTE,YBARRA,1,D80-00-10,1
23979,MAYONESA MUSA TARRO 540 ML,TARRO,MUSA,1,D80-00-10,1
23982,MAYONESA EN SOBRES INDIVIDUALES HELLMANNS CAJA 15 SOBRES (150 ML),CAJA,HELLMANS,1,D80-00-10,1
23983,KETCHUP HACENDADO BOTE 600 G,BOTE,HACENDADO,1,D80-00-20,1
23984,KETCHUP HACENDADO EN SOBRES INDIVIDUALES PAQUETE 12 SOBRES (240 G),PAQUETE,HACENDADO,1,D80-00-20,1
23985,KETCHUP HEINZ BOTE 570 G,BOTE,HEINZ,1,D80-00-20,1
23986,MOSTAZA DULCE HACENDADO BOTE 330 G,BOTE,HACENDADO,1,D80-00-30,1
23987,MOSTAZA DE DIJON HACENDADO TARRO 200 G,TARRO,HACENDADO,1,D80-00-30,1
23988,MOSTAZA CLÁSICA HACENDADO BOTE 388 G,BOTE,HACENDADO,1,D80-00-30,1
8033,"CALDO DE POLLO GALLINA BLANCA, PACK 2X1 LITRO",2 X 1L,GALLINA BLANCA,2,D20-02-00,8
3532,"CALDO CASERO DE CARNE GALLINA BLANCA, BRIK 1 LITRO",1 L,GALLINA BLANCA,1,D20-05-00,8
3531,"SOPA DE POLLO CON FIDEOS GALLINA BLANCA, PACK 3X71 G",71 G,GALLINA BLANCA,1,D22-00-00,8
8034,"CALDO CASERO DE COCIDO GALLINA BLANCA, PACK 2X1 LITRO",2 X 1L,GALLINA BLANCA,2,D20-11-00,8
3533,"SOPA DE POLLO CON FIDEOS GALLINA BLANCA, SOBRE 71 G",71 G,GALLINA BLANCA,1,D22-00-00,8
24021,"ASTURIANA LECHE ENTERA UHT BOTELLA 2,2 L","2,20 L",ASTURIANA,1,D70-10-00,10
24022,ASTURIANA LECHE ENTERA UHT PACK 6 BRIKS 200 ML,6 X 20 CL,ASTURIANA,6,D70-10-00,10
24023,ASTURIANA LECHE ENTERA UHT BRIK 500 ML,50 CL,ASTURIANA,1,D70-10-00,10
24024,PASCUAL LECHE ENTERA UHT PACK 6 BRIKS 200 ML,6 X 20 CL,PASCUAL,6,D70-10-00,10
24025,"PASCUAL LECHE ENTERA UHT BOTELLA 1,5 L","1,50 L",PASCUAL,1,D70-10-00,10
11970,PRESIDENT LECHE ENTERA UHT BRIK 1 L,1 L,PRESIDENT,1,D70-10-00,10
24028,PULEVA LECHE ENTERA ECOLÓGICA BRIK 1 L,1 L,PULEVA,1,D70-10-03,10
24030,COVAP LECHE ENTERA BRIK 1 L,1 L,COVAP,1,D70-10-05,10
24031,"COVAP LECHE ENTERA BOTELLA 1,5 L","1,50 L",COVAP,1,D70-10-00,10
24032,COVAP LECHE ENTERA UHT A2 PROTEIN BRIK 1 L,1 L,COVAP,1,D70-10-00,10
24033,CLESA LECHE ENTERA UHT GALLEGA BRIK 1 L,1 L,CLESA,1,D70-10-00,10
24035,ATO LECHE ENTERA UHT BRIK 1 L,1 L,ATO,1,D70-10-00,10
24036,ATO LECHE ENTERA 100% ECOLÓGICA BRIK 1 L,1 L,ATO,1,D70-10-03,10
24037,"ATO LECHE ENTERA UHT BOTELLA 1,5 L","1,50 L",ATO,1,D70-10-00,10
24038,LLET NOSTRA LECHE ENTERA UHT BRIK 1 L,1 L,LLET NOSTRA,1,D70-10-00,10
24039,UNICLA LECHE ENTERA UHT BRIK 1 L,1 L,UNICLA,1,D70-10-00,10
24040,LACTURALE LECHE ENTERA UHT BRIK 1 L,1 L,LACTURALE,1,D70-10-00,10
24041,KAIKU LECHE ENTERA UHT BRIK 1 L,1 L,KAIKU,1,D70-10-00,10
24042,ASANA BIO LECHE ENTERA ECOLÓGICA DE LOS ALPES BRIK 1 L,1 L,ASANA,1,D70-10-03,10
24043,GAZA LECHE ENTERA UHT BRIK 1 L,1 L,GAZA,1,D70-10-00,10
24044,LEYMA NATURA LECHE ENTERA UHT BRIK 1 L,1 L,LEYMA,1,D70-10-00,10
24045,"LEYMA NATURA LECHE ENTERA UHT BOTELLA 1,5 L","1,50 L",LEYMA,1,D70-10-00,10
24046,TIERRA DE SABOR LECHE ENTERA UHT DE CASTILLA Y LEÓN BRIK 1 L,1 L,TIERRA DE SABOR,1,D70-10-00,10
24047,LARSA LECHE ENTERA UHT BRIK 1 L,1 L,LARSA,1,D70-10-00,10
24048,DELEITE GALEGO LECHE ENTERA UHT TIPO A2 BRIK 1 L,1 L,DELEITE,1,D70-10-00,10
24049,VILLACORONA LECHE ENTERA UHT BRIK 1 L,1 L,VILLACORONA,1,D70-10-00,10
24050,FEIRACO LECHE ENTERA UHT BRIK 1 L,1 L,FEIRACO,1,D70-10-00,10
24052,LAR LECHE ENTERA UHT BRIK 1 L,1 L,LAR,1,D70-10-00,10
