pssg_id,ticket,fare,class,cabin
143,STON/O2. 3101279,15.85,Third,
145,231945,11.5,Second,
146,C.A. 33112,36.75,Second,
147,350043,7.7958,Third,
148,W./C. 6608,34.375,Third,
149,230080,26.0,Second,F2
150,244310,13.0,Second,
151,S.O.P. 1166,12.525,Second,
152,113776,66.6,First,C2
153,A.5. 11206,8.05,Third,
154,A/5. 851,14.5,Third,
155,Fa 265302,7.3125,Third,
158,SOTON/OQ 392090,8.05,Third,
159,315037,8.6625,Third,
160,CA. 2343,69.55,Third,
161,371362,16.1,Third,
162,C.A. 33595,15.75,Second,
163,347068,7.775,Third,
164,315093,8.6625,Third,
165,3101295,39.6875,Third,
166,363291,20.525,Third,
167,113505,55.0,First,E33
168,347088,27.9,Third,
169,PC 17318,25.925,First,
170,1601,56.4958,Third,
171,111240,33.5,First,B19
173,347742,11.1333,Third,
174,STON/O 2. 3101280,7.925,Third,
176,350404,7.8542,Third,
177,4133,25.4667,Third,
179,250653,13.0,Second,
180,LINE,0.0,Third,
181,CA. 2343,69.55,Third,
183,347077,31.3875,Third,
184,230136,39.0,Second,F4
185,315153,22.025,Third,
186,113767,50.0,First,A32
188,111428,26.55,First,
190,349247,7.8958,Third,
191,234604,13.0,Second,
192,28424,13.0,Second,
193,350046,7.8542,Third,
194,230080,26.0,Second,F2
198,4579,8.4042,Third,
200,248747,13.0,Second,
201,345770,9.5,Third,
202,CA. 2343,69.55,Third,
203,3101264,6.4958,Third,
205,A/5 3540,8.05,Third,
206,347054,10.4625,Third,G6
207,3101278,15.85,Third,
211,SOTON/O.Q. 3101311,7.05,Third,
212,F.C.C. 13528,21.0,Second,
213,A/5 21174,7.25,Third,
214,250646,13.0,Second,
217,STON/O2. 3101283,7.925,Third,
218,243847,27.0,Second,
220,W/C 14208,10.5,Second,
221,SOTON/OQ 392089,8.05,Third,
222,220367,13.0,Second,
223,21440,8.05,Third,
224,349234,7.8958,Third,
225,19943,90.0,First,C93
226,PP 4348,9.35,Third,
227,SW/PP 751,10.5,Second,
228,A/5 21173,7.25,Third,
229,236171,13.0,Second,
230,4133,25.4667,Third,
231,36973,83.475,First,C83
232,347067,7.775,Third,
233,237442,13.5,Second,
234,347077,31.3875,Third,
235,C.A. 29566,10.5,Second,
236,W./C. 6609,7.55,Third,
237,26707,26.0,Second,
238,C.A. 31921,26.25,Second,
239,28665,10.5,Second,
240,SCO/W 1585,12.275,Second,
243,W./C. 14263,10.5,Second,
244,STON/O 2. 3101275,7.125,Third,
247,347071,7.775,Third,
248,250649,14.5,Second,
249,11751,52.5542,First,D35
250,244252,26.0,Second,
251,362316,7.25,Third,
252,347054,10.4625,Third,G6
253,113514,26.55,First,C87
254,A/5. 3336,16.1,Third,
255,370129,20.2125,Third,
258,110152,86.5,First,B77
260,230433,26.0,Second,
262,347077,31.3875,Third,
263,110413,79.65,First,E67
264,112059,0.0,First,B94
266,C.A. 17248,10.5,Second,
267,3101295,39.6875,Third,
268,347083,7.775,Third,
269,PC 17582,153.4625,First,C125
270,PC 17760,135.6333,First,C99
271,113798,31.0,First,
272,LINE,0.0,Third,
273,250644,19.5,Second,
276,13502,77.9583,First,D7
277,347073,7.75,Third,
278,239853,0.0,Second,
280,C.A. 2673,20.25,Third,
282,347464,7.8542,Third,
283,345778,9.5,Third,
284,A/5. 10482,8.05,Third,
285,113056,26.0,First,A19
287,345774,9.5,Third,
288,349206,7.8958,Third,
289,237798,13.0,Second,
291,19877,78.85,First,
294,349236,8.85,Third,
295,349233,7.8958,Third,
298,113781,151.55,First,C22 C26
299,19988,30.5,First,C106
303,LINE,0.0,Third,
305,A/5 2466,8.05,Third,
306,113781,151.55,First,C22 C26
313,250651,26.0,Second,
314,349243,7.8958,Third,
315,F.C.C. 13529,26.25,Second,
316,347470,7.8542,Third,
317,244367,26.0,Second,
318,29011,14.0,Second,
319,36928,164.8667,First,C7
321,A/5 21172,7.25,Third,
322,349219,7.8958,Third,
324,248738,29.0,Second,
325,CA. 2343,69.55,Third,
327,345364,6.2375,Third,
328,28551,13.0,Second,D
329,363291,20.525,Third,
332,113043,28.5,First,C124
333,PC 17582,153.4625,First,C91
334,345764,18.0,Third,
335,PC 17611,133.65,First,
336,349225,7.8958,Third,
337,113776,66.6,First,C2
339,7598,8.05,Third,
340,113784,35.5,First,T
341,230080,26.0,Second,F2
342,19950,263.0,First,C23 C25 C27
343,248740,13.0,Second,
344,244361,13.0,Second,
345,229236,13.0,Second,
346,248733,13.0,Second,F33
347,31418,13.0,Second,
348,386525,16.1,Third,
349,C.A. 37671,15.9,Third,
350,315088,8.6625,Third,
351,7267,9.225,Third,
352,113510,35.0,First,C128
354,349237,17.8,Third,
356,345783,9.5,Third,
357,113505,55.0,First,E33
358,237671,13.0,Second,
361,347088,27.9,Third,
364,SOTON/O.Q. 3101310,7.05,Third,
366,C 7076,7.25,Third,
372,3101267,6.4958,Third,
373,323951,8.05,Third,
375,349909,21.075,Third,
377,C 7077,7.25,Third,
380,347069,7.775,Third,
383,STON/O 2. 3101293,7.925,Third,
384,113789,52.0,First,
385,349227,7.8958,Third,
386,S.O.C. 14879,73.5,Second,
387,CA 2144,46.9,Third,
388,27849,13.0,Second,
391,113760,120.0,First,B96 B98
392,350034,7.7958,Third,
393,3101277,7.925,Third,
395,PP 9549,16.7,Third,G6
396,350052,7.7958,Third,
397,350407,7.8542,Third,
398,28403,26.0,Second,
399,244278,10.5,Second,
400,240929,12.65,Second,
401,STON/O 2. 3101289,7.925,Third,
402,341826,8.05,Third,
403,4137,9.825,Third,
404,STON/O2. 3101279,15.85,Third,
405,315096,8.6625,Third,
406,28664,21.0,Second,
407,347064,7.75,Third,
408,29106,18.75,Second,
409,312992,7.775,Third,
410,4133,25.4667,Third,
411,349222,7.8958,Third,
414,239853,0.0,Second,
415,STON/O 2. 3101269,7.925,Third,
416,343095,8.05,Third,
417,28220,32.5,Second,
418,250652,13.0,Second,
419,28228,13.0,Second,
420,345773,24.15,Third,
423,315082,7.875,Third,
424,347080,14.4,Third,
425,370129,20.2125,Third,
426,A/4. 34244,7.25,Third,
427,2003,26.0,Second,
428,250655,26.0,Second,
430,SOTON/O.Q. 392078,8.05,Third,E10
431,110564,26.55,First,C52
432,376564,16.1,Third,
433,SC/AH 3085,26.0,Second,
434,STON/O 2. 3101274,7.125,Third,
435,13507,55.9,First,E44
436,113760,120.0,First,B96 B98
437,W./C. 6608,34.375,Third,
438,29106,18.75,Second,
439,19950,263.0,First,C23 C25 C27
440,C.A. 18723,10.5,Second,
441,F.C.C. 13529,26.25,Second,
442,345769,9.5,Third,
443,347076,7.775,Third,
444,230434,13.0,Second,
445,65306,8.1125,Third,
446,33638,81.8583,First,A34
447,250644,19.5,Second,
448,113794,26.55,First,
450,113786,30.5,First,C104
451,C.A. 34651,27.75,Second,
452,65303,19.9667,Third,
455,A/5 2817,8.05,Third,
457,13509,26.55,First,E38
458,17464,51.8625,First,D21
459,F.C.C. 13531,10.5,Second,
461,19952,26.55,First,E12
462,364506,8.05,Third,
463,111320,38.5,First,E63
464,234360,13.0,Second,
465,A/S 2816,8.05,Third,
466,SOTON/O.Q. 3101306,7.05,Third,
467,239853,0.0,Second,
468,113792,26.55,First,
471,323592,7.25,Third,
472,315089,8.6625,Third,
473,C.A. 34651,27.75,Second,
475,7553,9.8375,Third,
476,110465,52.0,First,A14
477,31027,21.0,Second,
478,3460,7.0458,Third,
479,350060,7.5208,Third,
480,3101298,12.2875,Third,
481,CA 2144,46.9,Third,
482,239854,0.0,Second,
483,A/5 3594,8.05,Third,
484,4134,9.5875,Third,
486,4133,25.4667,Third,
487,19943,90.0,First,C93
489,A.5. 18509,8.05,Third,
490,C.A. 37671,15.9,Third,
491,65304,19.9667,Third,
492,SOTON/OQ 3101317,7.25,Third,
493,113787,30.5,First,C30
495,A/4 45380,8.05,Third,
498,C.A. 6212,15.1,Third,
499,113781,151.55,First,C22 C26
500,350035,7.7958,Third,
501,315086,8.6625,Third,
504,4135,9.5875,Third,
505,110152,86.5,First,B79
507,26360,26.0,Second,
508,111427,26.55,First,
509,C 4001,22.525,Third,
510,1601,56.4958,Third,
512,SOTON/OQ 3101316,8.05,Third,
513,PC 17473,26.2875,First,E25
515,349209,7.4958,Third,
516,36967,34.0208,First,D46
517,C.A. 34260,10.5,Second,F33
519,226875,26.0,Second,
520,349242,7.8958,Third,
521,12749,93.5,First,B73
522,349252,7.8958,Third,
527,W./C. 14258,10.5,Second,
528,PC 17483,221.7792,First,C95
529,3101296,7.925,Third,
530,29104,11.5,Second,
531,26360,26.0,Second,
535,315084,8.6625,Third,
536,F.C.C. 13529,26.25,Second,
537,113050,26.55,First,B38
539,364498,14.5,Third,
541,WE/P 5735,71.0,First,B22
542,347082,31.275,Third,
543,347082,31.275,Third,
544,2908,26.0,Second,
546,693,26.0,First,
547,2908,26.0,Second,
549,363291,20.525,Third,
550,C.A. 33112,36.75,Second,
552,244358,26.0,Second,
555,347085,7.775,Third,
556,113807,26.55,First,
559,110413,79.65,First,E67
560,345572,17.4,Third,
562,349251,7.8958,Third,
563,218629,13.5,Second,
564,SOTON/OQ 392082,8.05,Third,
565,SOTON/O.Q. 392087,8.05,Third,
566,A/4 48871,24.15,Third,
567,349205,7.8958,Third,
568,349909,21.075,Third,
570,350417,7.8542,Third,
571,S.W./PP 752,10.5,Second,
572,11769,51.4792,First,C101
573,PC 17474,26.3875,First,E25
575,A/4. 20589,8.05,Third,
576,358585,14.5,Third,
577,243880,13.0,Second,
578,13507,55.9,First,E44
580,STON/O 2. 3101286,7.925,Third,
581,237789,30.0,Second,
583,28403,26.0,Second,
586,110413,79.65,First,E68
587,237565,15.0,Second,
589,14973,8.05,Third,
590,A./5. 3235,8.05,Third,
591,STON/O 2. 3101273,7.125,Third,
593,A/5 3902,7.25,Third,
595,SC/AH 29037,26.0,Second,
596,345773,24.15,Third,
597,248727,33.0,Second,
598,LINE,0.0,Third,
601,243847,27.0,Second,
602,349214,7.8958,Third,
603,113796,42.4,First,
604,364511,8.05,Third,
606,349910,15.55,Third,
607,349246,7.8958,Third,
608,113804,30.5,First,
610,PC 17582,153.4625,First,C125
611,347082,31.275,Third,
612,SOTON/O.Q. 3101305,7.05,Third,
615,364512,8.05,Third,
616,220845,65.0,Second,
617,347080,14.4,Third,
618,A/5. 3336,16.1,Third,
619,230136,39.0,Second,F4
620,31028,10.5,Second,
622,11753,52.5542,First,D19
624,350029,7.8542,Third,
625,54636,16.1,Third,
626,36963,32.3208,First,D50
628,13502,77.9583,First,D9
629,349224,7.8958,Third,
631,27042,30.0,First,A23
632,347743,7.0542,Third,
634,112052,0.0,First,
635,347088,27.9,Third,
636,237668,13.0,Second,
637,STON/O 2. 3101292,7.925,Third,
638,C.A. 31921,26.25,Second,
639,3101295,39.6875,Third,
640,376564,16.1,Third,
641,350050,7.8542,Third,
643,347088,27.9,Third,
644,1601,56.4958,Third,
647,349231,7.8958,Third,
649,S.O./P.P. 751,7.55,Third,
650,CA. 2314,7.55,Third,
651,349221,7.8958,Third,
652,231919,23.0,Second,
653,8475,8.4333,Third,
656,S.O.C. 14879,73.5,Second,
657,349223,7.8958,Third,
659,29751,13.0,Second,
661,PC 17611,133.65,First,
663,5727,25.5875,First,E58
664,349210,7.4958,Third,
665,STON/O 2. 3101285,7.925,Third,
666,S.O.C. 14879,73.5,Second,
667,234686,13.0,Second,
668,312993,7.775,Third,
669,A/5 3536,8.05,Third,
670,19996,52.0,First,C126
671,29750,39.0,Second,
672,F.C. 12750,52.0,First,B71
673,C.A. 24580,10.5,Second,
674,244270,13.0,Second,
675,239856,0.0,Second,
676,349912,7.775,Third,
677,342826,8.05,Third,
678,4138,9.8417,Third,
679,CA 2144,46.9,Third,
683,6563,9.225,Third,
684,CA 2144,46.9,Third,
685,29750,39.0,Second,
687,3101295,39.6875,Third,
688,349228,10.1708,Third,
689,350036,7.7958,Third,
690,24160,211.3375,First,B5
691,17474,57.0,First,B20
693,1601,56.4958,Third,
695,113800,26.55,First,
696,248731,13.5,Second,
697,363592,8.05,Third,
700,348121,7.65,Third,F G63
702,PC 17475,26.2875,First,E24
705,350025,7.8542,Third,
706,250655,26.0,Second,
707,223596,13.5,Second,
708,PC 17476,26.2875,First,E24
709,113781,151.55,First,
712,113028,26.55,First,C124
713,19996,52.0,First,C126
714,7545,9.4833,Third,
715,250647,13.0,Second,
716,348124,7.65,Third,F G73
718,34218,10.5,Second,E101
720,347062,7.775,Third,
721,248727,33.0,Second,
722,350048,7.0542,Third,
723,12233,13.0,Second,
724,250643,13.0,Second,
725,113806,53.1,First,E8
726,315094,8.6625,Third,
727,31027,21.0,Second,
729,236853,26.0,Second,
730,STON/O2. 3101271,7.925,Third,
731,24160,211.3375,First,B5
733,239855,0.0,Second,
734,28425,13.0,Second,
735,233639,13.0,Second,
736,54636,16.1,Third,
737,W./C. 6608,34.375,Third,
739,349201,7.8958,Third,
740,349218,7.8958,Third,
741,16988,30.0,First,D45
742,19877,78.85,First,C46
744,376566,16.1,Third,
745,STON/O 2. 3101288,7.925,Third,
746,WE/P 5735,71.0,First,B22
747,C.A. 2673,20.25,Third,
748,250648,13.0,Second,
749,113773,53.1,First,D30
751,29103,23.0,Second,
752,392096,12.475,Third,E121
753,345780,9.5,Third,
754,349204,7.8958,Third,
755,220845,65.0,Second,
756,250649,14.5,Second,
757,350042,7.7958,Third,
758,29108,11.5,Second,
759,363294,8.05,Third,
760,110152,86.5,First,B77
761,358585,14.5,Third,
762,SOTON/O2 3101272,7.125,Third,
764,113760,120.0,First,B96 B98
765,347074,7.775,Third,
766,13502,77.9583,First,D11
770,8471,8.3625,Third,
771,345781,9.5,Third,
772,350047,7.8542,Third,
773,S.O./P.P. 3,10.5,Second,E77
775,29105,23.0,Second,
776,347078,7.75,Third,
778,364516,12.475,Third,
780,24160,211.3375,First,B3
782,17474,57.0,First,B20
783,113501,30.0,First,D6
784,W./C. 6607,23.45,Third,
785,SOTON/O.Q. 3101312,7.05,Third,
786,374887,7.25,Third,
787,3101265,7.4958,Third,
789,C.A. 2315,20.575,Third,
792,239865,26.0,Second,
793,CA. 2343,69.55,Third,
795,349203,7.8958,Third,
796,28213,13.0,Second,
797,17465,25.9292,First,D17
798,349244,8.6833,Third,
800,345773,24.15,Third,
801,250647,13.0,Second,
802,C.A. 31921,26.25,Second,
803,113760,120.0,First,B96 B98
805,347089,6.975,Third,
806,347063,7.775,Third,
807,112050,0.0,First,A36
808,347087,7.775,Third,
809,248723,13.0,Second,
810,113806,53.1,First,E8
811,3474,7.8875,Third,
812,A/4 48871,24.15,Third,
813,28206,10.5,Second,
814,347082,31.275,Third,
815,364499,8.05,Third,
816,112058,0.0,First,B102
817,STON/O2. 3101290,7.925,Third,
819,C 7075,6.45,Third,
820,347088,27.9,Third,
821,12749,93.5,First,B69
822,315098,8.6625,Third,
823,19972,0.0,First,
824,392096,12.475,Third,E121
825,3101295,39.6875,Third,
827,1601,56.4958,Third,
832,29106,18.75,Second,
834,347468,7.8542,Third,
835,2223,8.3,Third,
837,315097,8.6625,Third,
838,392092,8.05,Third,
839,1601,56.4958,Third,
841,SOTON/O2 3101287,7.925,Third,
842,S.O./P.P. 3,10.5,Second,
845,315090,8.6625,Third,
846,C.A. 5547,7.55,Third,
847,CA. 2343,69.55,Third,
849,248727,33.0,Second,
851,347082,31.275,Third,
852,347060,7.775,Third,
854,PC 17592,39.4,First,D28
855,244252,26.0,Second,
856,392091,9.35,Third,
857,36928,164.8667,First,
858,113055,26.55,First,E17
861,350026,14.1083,Third,
862,28134,11.5,Second,
863,17466,25.9292,First,D17
864,CA. 2343,69.55,Third,
865,233866,13.0,Second,
866,236852,13.0,Second,
868,PC 17590,50.4958,First,A24
869,345777,9.5,Third,
870,347742,11.1333,Third,
871,349248,7.8958,Third,
872,11751,52.5542,First,D35
873,695,5.0,First,B51 B53 B55
874,345765,9.0,Third,
877,7534,9.8458,Third,
878,349212,7.8958,Third,
879,349217,7.8958,Third,
881,230433,26.0,Second,
882,349257,7.8958,Third,
883,7552,10.5167,Third,
884,C.A./SOTON 34068,10.5,Second,
885,SOTON/OQ 392076,7.05,Third,
887,211536,13.0,Second,
888,112053,30.0,First,B42
889,W./C. 6607,23.45,Third,
